,antecedents,consequents,support,lift
0,frozenset({'Colored_Pencil_Set'}),frozenset({'Pen_Pencil_&_Highlighter_Set'}),0.2711864406779661,1.0
1,frozenset({'Pen_Pencil_&_Highlighter_Set'}),frozenset({'Colored_Pencil_Set'}),0.2711864406779661,1.0
2,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Pen_Pencil_&_Highlighter_Set'}),0.22033898305084745,1.0
3,frozenset({'Pen_Pencil_&_Highlighter_Set'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.22033898305084745,1.0
4,frozenset({'Google_Sunglasses'}),frozenset({'Pen_Pencil_&_Highlighter_Set'}),0.211864406779661,1.0
5,frozenset({'Pen_Pencil_&_Highlighter_Set'}),frozenset({'Google_Sunglasses'}),0.211864406779661,1.0
0,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Four_Color_Retractable_Pen'}),0.18209876543209877,1.0
1,frozenset({'Four_Color_Retractable_Pen'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.18209876543209877,1.0
2,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Four_Color_Retractable_Pen'}),0.1728395061728395,1.0
3,frozenset({'Four_Color_Retractable_Pen'}),frozenset({'Google_22_oz_Water_Bottle'}),0.1728395061728395,1.0
4,frozenset({'Ballpoint_LED_Light_Pen'}),frozenset({'Four_Color_Retractable_Pen'}),0.16666666666666666,1.0
5,frozenset({'Four_Color_Retractable_Pen'}),frozenset({'Ballpoint_LED_Light_Pen'}),0.16666666666666666,1.0
0,frozenset({'Nest_Learning_Thermostat_3rd_Gen-USA_-_Stainless_Steel'}),frozenset({'Nest_Protect_Smoke_+_CO_White_Battery_Alarm-USA'}),0.16605437178545188,1.0
1,frozenset({'Nest_Protect_Smoke_+_CO_White_Battery_Alarm-USA'}),frozenset({'Nest_Learning_Thermostat_3rd_Gen-USA_-_Stainless_Steel'}),0.16605437178545188,1.0
0,frozenset({'Spiral_Notebook_and_Pen_Set'}),frozenset({'Google_22_oz_Water_Bottle'}),0.17355371900826447,1.0
1,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Spiral_Notebook_and_Pen_Set'}),0.17355371900826447,1.0
0,frozenset({'Google_Sunglasses'}),frozenset({'Google_22_oz_Water_Bottle'}),0.17146974063400577,1.0
1,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Google_Sunglasses'}),0.17146974063400577,1.0
0,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Google_Spiral_Journal_with_Pen'}),0.15217391304347827,1.0
1,frozenset({'Google_Spiral_Journal_with_Pen'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.15217391304347827,1.0
